text,intent
"tôi buồn quá","express_emotion"
"tôi cảm thấy chán nản","express_emotion"
"hôm nay tôi vui","express_emotion"
"tôi lo lắng","express_emotion"
"tôi sợ hãi","express_emotion"
"tôi căng thẳng","express_emotion"
"tôi ổn","express_emotion"
"tôi hạnh phúc","express_emotion"
"tôi cô đơn","express_emotion"
"tôi mệt mỏi","express_emotion"
"tôi muốn chết","crisis"
"tôi muốn tự tử","crisis"
"tôi không muốn sống nữa","crisis"
"cuộc sống vô nghĩa","crisis"
"tôi muốn làm hại bản thân","crisis"
"tôi muốn quyên sinh","crisis"
"sống làm gì","crisis"
"chết đi cho rồi","crisis"
"tôi cần giúp đỡ","ask_help"
"tôi phải làm sao","ask_help"
"giúp tôi với","ask_help"
"ai có thể giúp tôi","ask_help"
"tôi cần tư vấn","ask_help"
"làm thế nào để","ask_help"
"tôi nên làm gì","ask_help"
"cho tôi lời khuyên","ask_help"
"tôi không biết phải làm gì","ask_help"
"có ai hiểu tôi không","ask_help"
"tôi muốn nói chuyện với ai đó","ask_help"
"bạn khỏe không","greeting"
"chào bạn","greeting"
"xin chào","greeting"
"hello","greeting"
"hi","greeting"
"chào buổi sáng","greeting"
"chào buổi chiều","greeting"
"chào buổi tối","greeting"
"tạm biệt","greeting"
"bye","greeting"
"cảm ơn bạn","gratitude"
"cảm ơn","gratitude"
"thank you","gratitude"
"cảm ơn rất nhiều","gratitude"
"bạn thật tốt","gratitude"
"tôi biết ơn","gratitude"
"tôi stress quá","describe_problem"
"tôi bị áp lực công việc","describe_problem"
"tôi bị mất ngủ","describe_problem"
"tôi không ngủ được","describe_problem"
"tôi ăn không ngon","describe_problem"
"tôi đau đầu","describe_problem"
"tim tôi đập nhanh","describe_problem"
"tôi khó thở","describe_problem"
"tôi bị trầm cảm","describe_problem"
"tôi lo âu","describe_problem"
"tôi bị panic attack","describe_problem"
"tôi không tập trung được","describe_problem"
"tôi mất động lực","describe_problem"
"làm sao để giảm stress","ask_advice"
"làm thế nào để ngủ ngon","ask_advice"
"tôi phải làm gì để hết buồn","ask_advice"
"làm sao để hết lo lắng","ask_advice"
"cách vượt qua trầm cảm","ask_advice"
"làm sao để tự tin hơn","ask_advice"
"cách thư giãn","ask_advice"
"tập thở như thế nào","ask_advice"
"mindfulness là gì","ask_advice"
"tôi nên gặp bác sĩ tâm lý không","ask_advice"
"bạn là ai","about_bot"
"bạn làm được gì","about_bot"
"bạn có phải là người thật không","about_bot"
"tên bạn là gì","about_bot"
"bạn bao nhiêu tuổi","about_bot"
"ai tạo ra bạn","about_bot"
"bạn có hiểu tôi không","about_bot"
"bạn có thể giúp gì cho tôi","about_bot"
"hôm nay tôi có chuyện này","share_story"
"để tôi kể cho bạn nghe","share_story"
"chuyện là thế này","share_story"
"hôm qua tôi","share_story"
"tôi vừa trải qua","share_story"
"tôi muốn chia sẻ","share_story"
"nghe này","share_story"
"bạn biết không","share_story"
"tôi có một vấn đề","share_story"
"tôi không hiểu sao mình lại cảm thấy như vậy","ask_understanding"
"tại sao tôi lại buồn","ask_understanding"
"vì sao tôi lo lắng","ask_understanding"
"điều này có bình thường không","ask_understanding"
"tôi có bình thường không","ask_understanding"
"có phải tôi bị bệnh không","ask_understanding"
"tại sao lại như vậy","ask_understanding"